Feature,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Total_Importance
MNDWI_stdDev,0.0008640705,0.014169987,0.03333934,0.0,0.0,0.008938242,0.05731164
Brightness_mean,0.0,0.040422797,0.0012337129,0.0078046676,0.0,0.002320032,0.05178121
Brightness_stdDev,0.00046796503,0.00830943,0.00723976,0.008100075,0.003675304,0.023382768,0.051175304
BLFEI_min,0.004223149,0.013554153,0.017310433,0.0,0.0,0.0147391595,0.049826894
Brightness_min,0.00133767,0.0033104059,0.012889358,0.018636424,0.007929416,0.0033539282,0.0474572
NDBI_max,0.005028601,0.0026979286,0.0010216738,0.028339121,0.0,0.008822442,0.045909766
BCI_stdDev,0.0021186944,0.014610796,0.007851541,0.0024494037,0.0,0.018410226,0.045440663
SWIR1_p25,0.00035861583,0.035008654,0.005344433,0.0,0.0,0.002551928,0.04326363
slope,0.0015195609,0.028049672,0.0017964139,0.0,0.0056599895,0.0029714783,0.039997116
Blue_p10,0.009914713,0.0,0.014538707,0.0,0.0,0.0111470055,0.035600424
NDBI_stdDev,0.0,0.010366636,0.00579819,0.008479665,0.0,0.009560654,0.034205146
Red_p90,0.026229478,0.0007806231,0.0017642993,0.0,0.0028794603,0.0005952292,0.032249093
MNDWI_min,0.0034619938,0.007413183,0.00523375,0.0014996206,0.0,0.014400223,0.03200877
aspect,0.0025960112,0.015106592,0.0023846203,0.0,0.0027338762,0.008763113,0.031584214
Blue_p50,0.00064954814,0.023408884,0.001470914,0.0,0.003454302,0.0007481994,0.029731847
TPI,0.00042536785,0.009349796,0.005401147,0.0,0.0024709117,0.00870083,0.026348054
Blue_p90,0.0088434685,0.002272574,0.0010152182,0.0062792134,0.0030887213,0.0042948322,0.02579403
Blue_p25,0.013054221,0.005479493,0.003793395,0.0,0.0,0.0030517105,0.02537882
BSI_mean,0.008498445,0.0009654469,0.0039430363,0.0,0.0080760475,0.00063540373,0.02211838
NDWI_stdDev,0.006618352,0.0036326568,0.004078517,0.0038719685,0.003288373,0.000540201,0.022030069
NIR_p75,0.0010560858,0.008237001,0.01005244,0.0,0.0,0.002078846,0.021424372
Green_p50,0.005614415,0.00426485,0.003791735,0.0,0.0030361856,0.0,0.016707186
SWIR1_p90,0.0,0.006731472,0.0,0.0,0.0,0.008596919,0.0153283905
BCI_min,0.0011377487,0.0033545387,0.0061879987,0.0,0.0,0.0035093324,0.014189619
SWIR1_p75,0.0,0.007492741,0.0017038005,0.0,0.0,0.0033166213,0.012513163
Blue_p75,0.0010167715,0.002055939,0.0025761928,0.0034632168,0.0031468582,0.0,0.012258979
NDWI_mean,0.003299632,0.0006426348,0.0055492828,0.0,0.0,0.001216709,0.0107082585
SWIR1_p50,0.0,0.0051290104,0.0026113277,0.0,0.0,0.0016038511,0.009344189
NDBI_mean,0.0,0.0008786995,0.00028029224,0.0,0.008098063,0.0,0.009257055
NDSI_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDSI_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDSI_stdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDSI_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_var,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_corr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_diss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_ent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_idm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_contrast,0.0,0.0,0.0,0.0,0.0,0.0,0.0
