Feature,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Total_Importance
NIR_p50,0.0012719176338543878,0.0048380116367070635,0.004886351864463775,0.0006186021094807262,0.002196139958239459,0.0010826413602117414,0.014893664562957154
BSI_min,0.0012778335142307926,0.0008671848259420368,0.0059077517733849404,0.0012449328426439742,0.0017823692398580753,0.0037808016195342146,0.014860873815594033
Green_p50,0.006632526266572871,0.0041163757609737955,0.002211950927880048,0.0006335494334565476,0.0003013965799723633,0.0006860146947110568,0.014581813663566682
MNDWI_mean,0.0021994855897379388,0.002014030408335405,0.0034385838482760144,0.0027164185020129177,0.002433474808848144,0.001700851284193883,0.014502844441404303
NIR_p25,0.0027943163166343106,0.003573446169168527,0.005449817980238501,0.000408527671589988,0.0013164410857373515,0.000870386231115189,0.014412935454483865
NDBI_max,0.006067329780437417,0.0012646966478159862,0.0040584676417576935,0.0008240548228805822,0.0009711526512779458,0.001041947710656146,0.014227649254825772
SWIR2_p10,0.0013372577949780108,0.0014916690384880107,0.0023444690846822444,0.0012579124941964734,0.0023982202394299923,0.005388182576858532,0.014217711228633266
NDWI_min,0.0009099326522566773,0.0011426164746940963,0.005166195777402587,0.0017140960948369313,0.001984836289750781,0.0025239741422127386,0.013441651431153811
SWIR1_p10,0.0015509217000438794,0.00455121255418805,0.004389128810426693,0.0005526929147559748,0.0009225017478494173,0.0014506814673226481,0.013417139194586663
NBR_max,0.0007722936475888455,0.001074319313425677,0.004699207061531548,0.00046762533520093797,0.0006479312934683009,0.0047822460395473216,0.01244362269076263
SWIR1_p75,0.004569074405025659,0.0028075811228284453,0.002630514602645954,0.000354344173474153,0.0006140456213301079,0.0010250883054490727,0.012000648230753391
NDSI_mean,0.0007916387861859312,0.0016405571578466324,0.0022882974239953136,0.0027419326358795034,0.0022219667337220962,0.0022997443200455376,0.011984137057675015
BLFEI_stdDev,0.0014429173693113577,0.0014052596760676845,0.004985855454859739,0.00036906394703438596,0.0005159306599788501,0.002985626879092963,0.011704653986344982
SWIR1_p25,0.0013682059969869348,0.0027992907628508136,0.002553453610335622,0.0008238551745166777,0.0012915913798163207,0.0018408302131956399,0.010677227137702009
Green_p90,0.003721555138237476,0.00252937428175275,0.0018684149996887993,0.0005170814250724578,0.00042814447339503854,0.0009631545044615415,0.010027724822608062
NDSI_min,0.001458086658476779,0.0016043027999370274,0.002894749186653236,0.0011523267682143083,0.0007621374063121912,0.0019358215501336829,0.009807424369727225
NDSI_stdDev,0.0026045084054529366,0.0014656239528924979,0.003930168675258752,0.00018662452076649824,0.00037181585747172216,0.0010634606737643477,0.009622202085606754
BCI_stdDev,0.0013633605017639877,0.0008706816987500444,0.0036767479069348464,0.00023532976052796463,0.000325670155267744,0.0026694005653926166,0.009141190588637204
NIR_p90,0.001667933567725317,0.0022908610209495047,0.0018340252659304528,0.0002806500903021486,0.0008146268574595158,0.0015960672909712482,0.008484164093338187
MNDWI_stdDev,0.0005872011330315035,0.001037826489423802,0.0036683768747530327,0.00022483168310027994,0.0002532953974298519,0.002631819604770489,0.00840335118250896
elevation,0.001627450849470592,0.0017295930751640254,0.002292031401237518,0.0005598081570720087,0.00032069988250414493,0.0016435542932210934,0.008173137658669383
SWIR1_p90,0.0026912625540084917,0.0016283133968561314,0.000800905006578786,0.00035124507992018834,0.000625296188749308,0.0015314574786524345,0.00762847970476534
MNDWI_max,0.000708457005738832,0.0012488646545123303,0.0017415367344905735,0.0012532897947984374,0.0013509473502842768,0.0013246288005024378,0.007627724340326889
NDSI_max,0.0004882361175753735,0.001436028226680597,0.0020005176668492237,0.0012823404997588377,0.0008479461997161088,0.0013679740788372446,0.007423042789417385
Brightness_max,0.0013301284584985433,0.0011202348207036436,0.0017212382882723992,0.0006032540872545768,0.0013397732614525836,0.0011764924150725563,0.007291121331254303
BCI_min,0.0007653716051792238,0.0014880572073752724,0.0017908096176859295,0.001438371716616607,0.00036536236916620253,0.001279520830317298,0.007127493346340534
MNDWI_min,0.00030949790188787736,0.0010077437166146799,0.0015279328640776155,0.0015151106907186406,0.0003064775040543186,0.0014864639129807196,0.006153226590333851
NIR_p75,0.0006561512948522973,0.001713577188748648,0.0019992268973356092,0.00023367992780738315,0.0003386579755276058,0.0005111205524578794,0.005452413836729423
Brightness_min,0.0004297809231627277,0.0007828482766256185,0.001647766064076497,0.0004746162917432295,0.0006071085722620897,0.0012876450159628409,0.005229765143833004
Brightness_stdDev,0.0003141936641826757,0.0006695665746131336,0.0008999615228094957,0.0005971552479895155,0.00016246610408229736,0.001560259878383872,0.00420360299206099
Blue_p90,0.0013993402826572264,0.0009291329406474728,0.0008241930503219807,0.00040464503187616504,0.00016446632910369134,0.00045764840623924147,0.004179426040845777
HAND,0.000409505459251362,0.0010418709425353639,0.0008125057925992092,0.00025703818661760913,0.000353679529767203,0.00042524911411226623,0.0032998490248830137
slope,0.0006703933611185226,0.001022376051202656,0.0007892363056006492,0.0001231595654237178,0.0002734146967768544,0.00035082645550033644,0.0032294064356227364
TWI,0.0002343980154608688,0.0009190698098339315,0.0009007039117360833,8.917287041343293e-05,0.000229763534192819,0.0008221213652013506,0.003195229506838486
TPI,0.0002867503737851384,0.00034773390042402085,0.0007399289995962935,0.00011116002331199009,0.00022758115176528006,0.0006237788007245105,0.0023369332496072336
aspect,0.0002052099746469361,0.00054690429028899,0.0005192515765598811,0.00017867895144748383,4.5533485539506996e-05,0.00019266348038998214,0.00168824175887278
NIR_var,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_corr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_diss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_ent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_idm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIR_contrast,0.0,0.0,0.0,0.0,0.0,0.0,0.0
